 INFO file_name: C:/dev/visualStudio/transpiler/Vandior/input.vn
 INFO Tokens:
 INFO (typ: IDENT, sl: (ln: 39, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 39, cln: 8))
 INFO (typ: STR, val: 'Before first swap:\t{} {}', sl: (ln: 39, cln: 9))
 INFO (typ: COMMA, sl: (ln: 39, cln: 36))
 INFO (typ: IDENT, sl: (ln: 39, cln: 38))
 INFO (typ: COMMA, sl: (ln: 39, cln: 42))
 INFO (typ: IDENT, sl: (ln: 39, cln: 44))
 INFO (typ: CLOSE_PAR, sl: (ln: 39, cln: 48))
 INFO (typ: IDENT, sl: (ln: 40, cln: 1))
 INFO (typ: COMMA, sl: (ln: 40, cln: 5))
 INFO (typ: IDENT, sl: (ln: 40, cln: 7))
 INFO (typ: EQUAL_OP, sl: (ln: 40, cln: 12))
 INFO (typ: IDENT, sl: (ln: 40, cln: 14))
 INFO (typ: COMMA, sl: (ln: 40, cln: 18))
 INFO (typ: IDENT, sl: (ln: 40, cln: 20))
 INFO (typ: IDENT, sl: (ln: 41, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 41, cln: 8))
 INFO (typ: STR, val: 'After first swap:\t{} {}', sl: (ln: 41, cln: 9))
 INFO (typ: COMMA, sl: (ln: 41, cln: 35))
 INFO (typ: IDENT, sl: (ln: 41, cln: 37))
 INFO (typ: COMMA, sl: (ln: 41, cln: 41))
 INFO (typ: IDENT, sl: (ln: 41, cln: 43))
 INFO (typ: CLOSE_PAR, sl: (ln: 41, cln: 47))
 INFO (typ: K_VAR, sl: (ln: 42, cln: 1))
 INFO (typ: IDENT, sl: (ln: 42, cln: 5))
 INFO (typ: COLON, sl: (ln: 42, cln: 7))
 INFO (typ: STRING, sl: (ln: 42, cln: 9))
 INFO (typ: EQUAL_OP, sl: (ln: 42, cln: 16))
 INFO (typ: STR, val: 'Ciao', sl: (ln: 42, cln: 18))
 INFO (typ: K_VAR, sl: (ln: 43, cln: 1))
 INFO (typ: IDENT, sl: (ln: 43, cln: 5))
 INFO (typ: COMMA, sl: (ln: 43, cln: 7))
 INFO (typ: IDENT, sl: (ln: 43, cln: 9))
 INFO (typ: COLON, sl: (ln: 43, cln: 11))
 INFO (typ: STRING, sl: (ln: 43, cln: 13))
 INFO (typ: EQUAL_OP, sl: (ln: 43, cln: 20))
 INFO (typ: IDENT, sl: (ln: 43, cln: 22))
 INFO (typ: DOT_OP, sl: (ln: 43, cln: 26))
 INFO (typ: IDENT, sl: (ln: 43, cln: 27))
 INFO (typ: OPEN_PAR, sl: (ln: 43, cln: 29))
 INFO (typ: CLOSE_PAR, sl: (ln: 43, cln: 30))
 INFO (typ: COMMA, sl: (ln: 43, cln: 31))
 INFO (typ: IDENT, sl: (ln: 43, cln: 33))
 INFO (typ: IDENT, sl: (ln: 44, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 44, cln: 8))
 INFO (typ: STR, val: 'Before second swap:\t{} {}', sl: (ln: 44, cln: 9))
 INFO (typ: COMMA, sl: (ln: 44, cln: 37))
 INFO (typ: IDENT, sl: (ln: 44, cln: 39))
 INFO (typ: COMMA, sl: (ln: 44, cln: 41))
 INFO (typ: IDENT, sl: (ln: 44, cln: 43))
 INFO (typ: CLOSE_PAR, sl: (ln: 44, cln: 45))
 INFO (typ: IDENT, sl: (ln: 45, cln: 1))
 INFO (typ: COMMA, sl: (ln: 45, cln: 3))
 INFO (typ: IDENT, sl: (ln: 45, cln: 5))
 INFO (typ: EQUAL_OP, sl: (ln: 45, cln: 8))
 INFO (typ: IDENT, sl: (ln: 45, cln: 10))
 INFO (typ: COMMA, sl: (ln: 45, cln: 12))
 INFO (typ: IDENT, sl: (ln: 45, cln: 14))
 INFO (typ: IDENT, sl: (ln: 46, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 46, cln: 8))
 INFO (typ: STR, val: 'After second swap:\t{} {}', sl: (ln: 46, cln: 9))
 INFO (typ: COMMA, sl: (ln: 46, cln: 36))
 INFO (typ: IDENT, sl: (ln: 46, cln: 38))
 INFO (typ: COMMA, sl: (ln: 46, cln: 40))
 INFO (typ: IDENT, sl: (ln: 46, cln: 42))
 INFO (typ: CLOSE_PAR, sl: (ln: 46, cln: 44))
 INFO (typ: IDENT, sl: (ln: 47, cln: 1))
 INFO (typ: COMMA, sl: (ln: 47, cln: 3))
 INFO (typ: IDENT, sl: (ln: 47, cln: 5))
 INFO (typ: EQUAL_OP, sl: (ln: 47, cln: 8))
 INFO (typ: STR, val: 'AA', sl: (ln: 47, cln: 10))
 INFO (typ: COMMA, sl: (ln: 47, cln: 14))
 INFO (typ: STR, val: 'VV', sl: (ln: 47, cln: 16))
 INFO (typ: IDENT, sl: (ln: 48, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 48, cln: 8))
 INFO (typ: STR, val: '{} {}', sl: (ln: 48, cln: 9))
 INFO (typ: COMMA, sl: (ln: 48, cln: 16))
 INFO (typ: IDENT, sl: (ln: 48, cln: 18))
 INFO (typ: COMMA, sl: (ln: 48, cln: 20))
 INFO (typ: IDENT, sl: (ln: 48, cln: 22))
 INFO (typ: CLOSE_PAR, sl: (ln: 48, cln: 24))
 INFO (typ: K_VAR, sl: (ln: 49, cln: 1))
 INFO (typ: IDENT, sl: (ln: 49, cln: 5))
 INFO (typ: COMMA, sl: (ln: 49, cln: 11))
 INFO (typ: IDENT, sl: (ln: 49, cln: 13))
 INFO (typ: COLON, sl: (ln: 49, cln: 19))
 INFO (typ: IDENT, sl: (ln: 49, cln: 21))
 INFO (typ: OPEN_SQ_PAR, sl: (ln: 49, cln: 27))
 INFO (typ: CLOSE_SQ_PAR, sl: (ln: 49, cln: 28))
 INFO (typ: EQUAL_OP, sl: (ln: 49, cln: 30))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 49, cln: 32))
 INFO (typ: IDENT, sl: (ln: 49, cln: 33))
 INFO (typ: OPEN_PAR, sl: (ln: 49, cln: 39))
 INFO (typ: CLOSE_PAR, sl: (ln: 49, cln: 40))
 INFO (typ: COMMA, sl: (ln: 49, cln: 41))
 INFO (typ: IDENT, sl: (ln: 49, cln: 43))
 INFO (typ: OPEN_PAR, sl: (ln: 49, cln: 49))
 INFO (typ: CLOSE_PAR, sl: (ln: 49, cln: 50))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 49, cln: 51))
 INFO (typ: COMMA, sl: (ln: 49, cln: 52))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 49, cln: 54))
 INFO (typ: IDENT, sl: (ln: 49, cln: 55))
 INFO (typ: OPEN_PAR, sl: (ln: 49, cln: 62))
 INFO (typ: CLOSE_PAR, sl: (ln: 49, cln: 63))
 INFO (typ: COMMA, sl: (ln: 49, cln: 64))
 INFO (typ: IDENT, sl: (ln: 49, cln: 66))
 INFO (typ: OPEN_PAR, sl: (ln: 49, cln: 72))
